id|rightsId|version
0100000000000816|00000000000000000000000000000000|
0100000000010000|01000000000100000000000000000003|0
0100000000010800|00000000000000000000000000000000|262144
010000000E5EE000|00000000000000000000000000000000|0
010000000EEF0000|00000000000000000000000000000000|0
010000000EEF0800|00000000000000000000000000000000|65536
0100000011D90000|00000000000000000000000000000000|0
0100000011D90800|00000000000000000000000000000000|393216
010000001260E000|00000000000000000000000000000000|0
01000000160F6000|00000000000000000000000000000000|0
01000000160F6800|00000000000000000000000000000000|65536
0100000016546000|00000000000000000000000000000000|0
010000100C4B8000|00000000000000000000000000000000|0
010000100C4B8800|00000000000000000000000000000000|196608
010000100FB62000|00000000000000000000000000000000|0
010000100FB62800|00000000000000000000000000000000|65536
0100001017216000|00000000000000000000000000000000|0
0100001017216800|00000000000000000000000000000000|131072
0100001017217002|00000000000000000000000000000000|0
0100001017217003|00000000000000000000000000000000|0
0100001017217004|00000000000000000000000000000000|0
0100001017FD6000|00000000000000000000000000000000|0
0100001017FD6800|00000000000000000000000000000000|327680
0100001019F6E000|00000000000000000000000000000000|0
0100001019F6E800|00000000000000000000000000000000|262144
010000300B4EE000|010000300B4EE0000000000000000005|0
010000300C79C000|010000300C79C0000000000000000005|0
010000300C79C800|00000000000000000000000000000000|458752
010000300C79D001|00000000000000000000000000000000|0
010000301025A000|00000000000000000000000000000000|0
01000030146BE000|00000000000000000000000000000000|0
01000030146BE800|00000000000000000000000000000000|65536
01000030151B0000|00000000000000000000000000000000|0
01000040098E4000|01000040098E40000000000000000004|0
01000040098E4800|00000000000000000000000000000000|
010000400F582000|00000000000000000000000000000000|0
010000400F582800|00000000000000000000000000000000|65536
010000400F583001|00000000000000000000000000000000|0
010000400F583002|00000000000000000000000000000000|0
010000401313A000|00000000000000000000000000000000|0
010000401313A800|00000000000000000000000000000000|262144
0100004017E54000|00000000000000000000000000000000|0
0100004017E54800|00000000000000000000000000000000|65536
0100005006BA4000|0100005006BA40000000000000000006|0
010000500B9F4000|00000000000000000000000000000000|0
010000500B9F4800|00000000000000000000000000000000|65536
010000500DB50000|00000000000000000000000000000000|0
010000500DB50800|00000000000000000000000000000000|327680
010000501492E000|00000000000000000000000000000000|0
010000501492E800|00000000000000000000000000000000|65536
0100005018A96000|00000000000000000000000000000000|0
0100005019BA8000|00000000000000000000000000000000|0
0100005019BA8800|00000000000000000000000000000000|65536
01000060085D2000|01000060085D20000000000000000003|0
01000060085D2800|00000000000000000000000000000000|131072
010000600CD54000|010000600CD540000000000000000005|0
010000600CD54800|00000000000000000000000000000000|131072
010000600EC82000|00000000000000000000000000000000|0
010000600EC82800|00000000000000000000000000000000|327680
0100006013A4A000|00000000000000000000000000000000|0
010000700A572000|010000700A5720000000000000000004|0
010000700A572800|00000000000000000000000000000000|65536
010000700F292000|00000000000000000000000000000000|0
010000701ABA2000|00000000000000000000000000000000|0
0100008011882000|00000000000000000000000000000000|0
0100008011882800|00000000000000000000000000000000|589824
0100008013FF4000|00000000000000000000000000000000|0
010000900F710000|00000000000000000000000000000000|0
0100009013566000|00000000000000000000000000000000|0
0100009013566800|00000000000000000000000000000000|262144
010000A00218E000|00000000000000000000000000000000|
010000A00218E800|00000000000000000000000000000000|
010000A00CA78000|010000A00CA780000000000000000005|0
010000A00CA78800|00000000000000000000000000000000|131072
010000A014E5A000|00000000000000000000000000000000|0
010000B00D800000|00000000000000000000000000000000|0
010000B00D800800|00000000000000000000000000000000|393216
010000B018892000|00000000000000000000000000000000|0
010000B0196AA000|00000000000000000000000000000000|0
010000B0196AA800|00000000000000000000000000000000|196608
010000B01A452000|00000000000000000000000000000000|0
010000B01A453001|00000000000000000000000000000000|0
010000BADDAD0000|00000000000000000000000000000000|
010000C010E76000|00000000000000000000000000000000|0
010000C010E76800|00000000000000000000000000000000|131072
010000C010E77001|00000000000000000000000000000000|65536
010000C013C42000|00000000000000000000000000000000|0
010000C01CDD0000|00000000000000000000000000000000|0
010000D00F81A000|00000000000000000000000000000000|0
010000D016FC2000|00000000000000000000000000000000|0
010000D016FC2800|00000000000000000000000000000000|196608
010000D017ABA000|00000000000000000000000000000000|0
010000D017ABA800|00000000000000000000000000000000|65536
010000D017EB4000|00000000000000000000000000000000|0
010000E004DAE000|010000E004DAE0000000000000000004|0
010000E004DAE800|00000000000000000000000000000000|589824
010000E00E612000|00000000000000000000000000000000|0
010000E00E612800|00000000000000000000000000000000|196608
010000E011176000|00000000000000000000000000000000|0
010000E011176800|00000000000000000000000000000000|65536
010000E0145BA000|00000000000000000000000000000000|0
010000E0145BA800|00000000000000000000000000000000|131072
010000E015046000|00000000000000000000000000000000|0
010000E015792000|00000000000000000000000000000000|0
010000E015792800|00000000000000000000000000000000|131072
010000E0161BC000|00000000000000000000000000000000|0
010000E016DDE000|00000000000000000000000000000000|0
010000F00BF68000|010000F00BF680000000000000000005|0
010000F012936000|00000000000000000000000000000000|0
010000F012936800|00000000000000000000000000000000|196608
010000F013E10000|00000000000000000000000000000000|0
010000F0154C8000|00000000000000000000000000000000|0
010000F0154C8800|00000000000000000000000000000000|327680
010001000EB0C000|00000000000000000000000000000000|0
010001000EB0D001|00000000000000000000000000000000|0
010001000EB0D002|00000000000000000000000000000000|0
010001000F2E8000|00000000000000000000000000000000|0
0100010016026000|00000000000000000000000000000000|0
010001001997C000|00000000000000000000000000000000|0
010001001997C800|00000000000000000000000000000000|131072
010001001997D001|00000000000000000000000000000000|0
010001001997D002|00000000000000000000000000000000|0
010001001997D003|00000000000000000000000000000000|0
010001001997D004|00000000000000000000000000000000|0
010001001D5D6000|00000000000000000000000000000000|0
0100011005D92000|0100011005D920000000000000000003|0
0100011005D92800|00000000000000000000000000000000|196608
0100011005D9306A|00000000000000000000000000000000|131072
010001100E708000|00000000000000000000000000000000|0
010001100E820000|00000000000000000000000000000000|
01000110103E4000|00000000000000000000000000000000|0
01000110103E4800|00000000000000000000000000000000|65536
0100011012A70000|00000000000000000000000000000000|0
010001300CC4A000|010001300CC4A0000000000000000007|0
010001300CC4A800|00000000000000000000000000000000|327680
010001300D14A000|00000000000000000000000000000000|0
010001300D14A800|00000000000000000000000000000000|393216
0100013010456000|00000000000000000000000000000000|0
0100013010456800|00000000000000000000000000000000|131072
01000130120EE000|00000000000000000000000000000000|0
01000130120EE800|00000000000000000000000000000000|851968
01000130120EF001|00000000000000000000000000000000|0
01000130120EF002|00000000000000000000000000000000|0
01000130120EF003|00000000000000000000000000000000|0
01000130120EF004|00000000000000000000000000000000|0
0100013012E4E000|00000000000000000000000000000000|0
0100013013F30000|00000000000000000000000000000000|0
0100013013F30800|00000000000000000000000000000000|131072
01000130150FA000|00000000000000000000000000000000|0
01000130150FA800|00000000000000000000000000000000|65536
0100013018030000|00000000000000000000000000000000|0
0100013018030800|00000000000000000000000000000000|131072
010001400E474000|00000000000000000000000000000000|0
010001400E474800|00000000000000000000000000000000|65536
010001501B98A000|00000000000000000000000000000000|0
010001501B98A800|00000000000000000000000000000000|65536
0100016007154000|01000160071540000000000000000003|0
0100016007154800|00000000000000000000000000000000|131072
0100016007155001|01000160071550010000000000000003|0
0100016007155002|01000160071550020000000000000003|0
0100016007155003|01000160071550030000000000000003|0
0100016007155004|01000160071550040000000000000003|0
0100016007155005|01000160071550050000000000000003|0
010001600C962000|010001600C9620000000000000000007|0
010001600C962800|00000000000000000000000000000000|262144
010001600D1E8000|00000000000000000000000000000000|0
0100016011A1A000|00000000000000000000000000000000|0
01000160127EC000|00000000000000000000000000000000|0
